"dma1_id","chan1_id","chan2_id","sales1_id","a","b","npv","sp","npv_p","bdgt_id","dma1_name","chan1_name","sales1_name","chan2_name","dim","cpp"
1,3,3,4,956.149313517171,0.401529304278674,781.0090072,655473.1438,779.983801165353,"1_3_3","National","Sapphire","Sapphire Card - New Applications","Television","National_Sapphire_Sapphire Card - New Applications_Television",155062.4744
1,3,7,4,1334.54046980012,2.97194219866755e-06,1070.797062,525861.9437,1074.94914841079,"1_3_7","National","Sapphire","Sapphire Card - New Applications","Direct Mail","National_Sapphire_Sapphire Card - New Applications_Direct Mail",0.963898147
1,3,8,4,1203.62732620212,2.40447891640201e-07,321.3213922,102894.2042,308.379953910223,"1_3_8","National","Sapphire","Sapphire Card - New Applications","Magazine","National_Sapphire_Sapphire Card - New Applications_Magazine",0.079665759
1,4,11,3,8587.10264238022,0.000318795069776535,8586.012053,65456.875,8591.34364812205,"1_4_11","National","Slate","Slate Card - New Applications","Affiliates","National_Slate_Slate Card - New Applications_Affiliates",2.326009916
1,4,7,3,36689.4056568355,2.85360244937974e-08,5122.048042,1730479.326,5144.41875671468,"1_4_7","National","Slate","Slate Card - New Applications","Direct Mail","National_Slate_Slate Card - New Applications_Direct Mail",0.328408769
1,5,1,6,1258.3907368325,4.34701565658007e-07,1051.316982,17913.98938,1052.41719081809,"1_5_1","National","Consumer","Consumer Checking - New Checking Accounts","Online Display","National_Consumer_Consumer Checking - New Checking Accounts_Online Display",0.004315422
1,5,3,1,1517.59774829537,4.07645188087153e-06,1508.737113,1261701.504,1519.51421664018,"1_5_3","National","Consumer","Freedom Card - New Applications","Television","National_Consumer_Freedom Card - New Applications_Television",1
1,5,3,7,1771.26721842181,1.1707249828918e-06,1366.891258,1261701.504,1362.8508032792,"1_5_3","National","Consumer","Consumer Savings - New Savings Accounts","Television","National_Consumer_Consumer Savings - New Savings Accounts_Television",1
1,5,3,5,485.875453250792,3.58493493849093e-07,176.7829666,1261701.504,171.989789037917,"1_5_3","National","Consumer","Business Checking - New Checking Accounts","Television","National_Consumer_Business Checking - New Checking Accounts_Television",1
1,5,3,9,17843018.1685615,1.18601586845993e-06,13847336.13,1261701.504,13871344.3681571,"1_5_3","National","Consumer","Consumer Savings - Total Balances","Television","National_Consumer_Consumer Savings - Total Balances_Television",1
1,5,4,7,74.9012444541886,0.00112360923182403,59.39246287,93149.34917,59.4143068918111,"1_5_4","National","Consumer","Consumer Savings - New Savings Accounts","Radio","National_Consumer_Consumer Savings - New Savings Accounts_Radio",66.46295116
1,5,4,9,106602.72767828,0.00099943422166823,80334.00095,93149.34917,80641.6659714559,"1_5_4","National","Consumer","Consumer Savings - Total Balances","Radio","National_Consumer_Consumer Savings - Total Balances_Radio",66.46295116
1,5,4,6,240.826934874274,0.00113410483382255,191.6903116,93149.34917,192.411418818486,"1_5_4","National","Consumer","Consumer Checking - New Checking Accounts","Radio","National_Consumer_Consumer Checking - New Checking Accounts_Radio",66.46295116
1,5,6,5,269.381586076621,3.03025005542601e-06,166.5211958,188661.4583,164.538672312535,"1_5_6","National","Consumer","Business Checking - New Checking Accounts","Paid Search","National_Consumer_Business Checking - New Checking Accounts_Paid Search",0.593806978
1,5,6,1,1849.17421158162,7.24248645240703e-06,1663.972242,188661.4583,1678.94501870418,"1_5_6","National","Consumer","Freedom Card - New Applications","Paid Search","National_Consumer_Freedom Card - New Applications_Paid Search",0.593806978
1,5,7,1,10760.3574195399,3.85939465112375e-08,1094.518055,1567480.208,1076.25578299243,"1_5_7","National","Consumer","Freedom Card - New Applications","Direct Mail","National_Consumer_Freedom Card - New Applications_Direct Mail",0.563948789
1,5,7,7,5998.44458642366,3.44821177116156e-07,3698.053409,1567480.208,3642.04055721437,"1_5_7","National","Consumer","Consumer Savings - New Savings Accounts","Direct Mail","National_Consumer_Consumer Savings - New Savings Accounts_Direct Mail",0.563948789
1,5,7,6,21136.506333694,1.83624267441881e-07,8448.932413,1567480.208,8189.70867410738,"1_5_7","National","Consumer","Consumer Checking - New Checking Accounts","Direct Mail","National_Consumer_Consumer Checking - New Checking Accounts_Direct Mail",0.563948789
1,5,7,9,100129810.552335,7.02833433245346e-07,85933797.16,1567480.208,86017388.9528617,"1_5_7","National","Consumer","Consumer Savings - Total Balances","Direct Mail","National_Consumer_Consumer Savings - Total Balances_Direct Mail",0.563948789
1,5,7,8,31160938.4398414,1.95834627881305e-07,13080179.07,1567480.208,12799081.4639091,"1_5_7","National","Consumer","Consumer Checking - Total Balances","Direct Mail","National_Consumer_Consumer Checking - Total Balances_Direct Mail",0.563948789
1,5,7,5,723.55497788494,5.36385948091329e-07,560.6272875,1567480.208,560.823851068454,"1_5_7","National","Consumer","Business Checking - New Checking Accounts","Direct Mail","National_Consumer_Business Checking - New Checking Accounts_Direct Mail",0.563948789
