sales1_name,chan1_name,chan2_name,all_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name
Marriott Card - New Applications,Direct Mail,Mariott,overall,National,0.5,0.01,1125786,0.01,1,79.49478851,weekly
Marriott Card - New Applications,Paid Search,Mariott,overall,National,0.3,0.01,15365,2,1,2724.423366,weekly
Marriott Card - New Applications,Online Video,Partner,overall,National,1.5,0.15,12086974,0.01,1,341.788283,weekly
Marriott Card - New Applications,Affiliates,Mariott,overall,National,0.5,0.15,1981,37,1,460.9804131,weekly
Marriott Card - New Applications,Television,Partner,overall,National,6,0.15,891,2301,1,1427.178117,weekly
Marriott Card - New Applications,Online Display,Partner,overall,National,1.5,0.15,83676019,0.01,1,790.0925619,weekly
Sapphire Card - New Applications,Magazine,Sapphire,overall,National,0.3,0.3,152195,1,1,104.94231,weekly
Sapphire Card - New Applications,Direct Mail,Freedom,overall,National,0.3,0.01,152195,1,1,254.9858464,weekly
Sapphire Card - New Applications,Television,Freedom,overall,National,6,0.15,26053,116,1,439.1725874,weekly
Sapphire Card - New Applications,Online Display,Sapphire,overall,National,3,0.03,16335092,0.01,1,872.2448278,weekly
Sapphire Card - New Applications,Television,Sapphire,overall,National,0.3,0.3,19848,76,1,660.0807651,weekly
Sapphire Card - New Applications,Direct Mail,Sapphire,overall,National,0.3,0.15,1458816,0.01,1,682.1166186,weekly
Sapphire Card - New Applications,Online Video,Sapphire,overall,National,3,0.03,19778688,0.01,1,3970.497391,weekly
Sapphire Card - New Applications,Paid Search,Multicard,overall,National,6,0.15,163578,2,1,1849.157777,weekly
Sapphire Card - New Applications,Affiliates,Sapphire,overall,National,1.5,0.3,24230,45,1,3152.736317,weekly
Slate Card - New Applications,Online Display,Freedom,overall,National,0.3,0.1,8313540,0.01,1,3680.254007,weekly
Slate Card - New Applications,Online Display,Sapphire,overall,National,6,0.15,16335092,0.01,1,1192.330024,weekly
Slate Card - New Applications,Television,Freedom,overall,National,4,0.15,26053,116,1,3307.247696,weekly
Slate Card - New Applications,Online Display,Slate,overall,National,0.5,0.15,25943324,0.01,1,12795.0813,weekly
Slate Card - New Applications,Paid Search,Multicard,overall,National,0.3,0.01,163578,2,1,53477.25975,weekly
Slate Card - New Applications,Direct Mail,Slate,overall,National,6,0.15,22203280,0.01,1,7038.001553,weekly
Slate Card - New Applications,Affiliates,Slate,overall,National,0.3,0.3,44507,58,1,12417.61151,weekly
United Card - New Applications,Direct Mail,United,overall,National,0.3,0.03,1900812,0.01,1,104.7453367,weekly
United Card - New Applications,Television,Partner,overall,National,0.3,0.15,891,2301,1,3289.860621,weekly
