sales1_name,chan1_name,chan2_name,all_name,hl,hrf,max,cps,wks,dma1_name,decomp,spend
Marriott Card - New Applications,Online Display,Partner,overall,1.5,0.15,83676019,0.1,1,National,274,137189
Sapphire Card - New Applications,Magazine,Sapphire,overall,0.3,0.01,152195,1,1,National,79,72183
Sapphire Card - New Applications,Direct Mail,Freedom,overall,0.3,0.01,8731730,0.1,1,National,125,843890
Sapphire Card - New Applications,Television,Freedom,overall,6,0.15,26053,116,1,National,240,751077
Sapphire Card - New Applications,Online Display,Sapphire,overall,3,0.03,16335092,0.1,1,National,389,146175
Sapphire Card - New Applications,Television,Sapphire,overall,0.3,0.15,19848,76,1,National,397,409938
Sapphire Card - New Applications,Direct Mail,Sapphire,overall,0.3,0.15,1458816,0.1,1,National,682,35145
Sapphire Card - New Applications,Online Video,Sapphire,overall,3,0.03,19778688,0.1,1,National,688,59243
Sapphire Card - New Applications,Paid Search,Multicard,overall,6,0.15,163578,2,1,National,1660,254029
Sapphire Card - New Applications,Affiliates,Sapphire,overall,1.5,0.3,24230,45,1,National,2867,514161
Slate Card - New Applications,Online Display,Freedom,overall,0.3,0.1,8313540,0.1,1,National,337,6918
Slate Card - New Applications,Online Display,Sapphire,overall,6,0.15,16335092,0.1,1,National,1104,146175
Slate Card - New Applications,Television,Freedom,overall,4,0.15,26053,116,1,National,1716,751077
Slate Card - New Applications,Online Display,Slate,overall,0.5,0.15,25943324,0.1,1,National,2159,23862
Slate Card - New Applications,Paid Search,Multicard,overall,0.3,0.01,163578,2,1,National,4383,254029
Slate Card - New Applications,Direct Mail,Slate,overall,6,0.15,22203280,0.1,1,National,7038,1791285
Slate Card - New Applications,Affiliates,Slate,overall,0.3,0.3,44507,58,1,National,10836,1426790
United Card - New Applications,Direct Mail,United,overall,0.3,0.03,1900812,0.1,1,National,91,121192
United Card - New Applications,Television,Partner,overall,0.3,0.15,891,2301,1,National,279,102032
United Card - New Applications,Online Display,Partner,overall,6,0.01,83676019,0.1,1,National,266,137189
United Card - New Applications,Online Video,Partner,overall,6,0.15,12086974,0.1,1,National,441,34170
United Card - New Applications,Paid Search,United,overall,1.5,0.01,178,7,1,National,457,547
United Card - New Applications,Outdoor,Partner,overall,0.3,0.15,529332,1,1,National,405,380929
Freedom Card - New Applications,Direct Mail,Freedom,overall,0.3,0.01,152195,1,1,National,4935,121192
Freedom Card - New Applications,Television,Freedom,overall,0.3,0.6,8731730,0.1,1,National,3368,102032
Freedom Card - New Applications,Affiliates,Freedom,overall,6,0.3,26053,116,1,National,9374,23744
Freedom Card - New Applications,Paid Search,Freedom,overall,3,0.03,163578,2,1,National,8211,27704
Freedom Card - New Applications,Online Display,Freedom,overall,0.3,0.15,8313540,0.1,1,National,1294,137189
Freedom Card - New Applications,Online Video,Freedom,overall,0.3,0.15,1458816,0.1,1,National,1797,34170
Ink Card - New Applications,Online Display,Ink,overall,1.5,0.15,10684098,0.1,1,National,756,104628
Ink Card - New Applications,Television,Ink,overall,1.5,0.15,10799,96,1,National,684,363184
Ink Card - New Applications,Paid Search,Multicard,overall,0.3,0.3,163578,2,1,National,741,254029
Ink Card - New Applications,Affiliates,Ink,overall,0.3,0.3,44507,58,1,National,551,63310
