"sales1_name","chan1_name","chan2_name","all_name","hl","hrf","max","cps","wks","dma1_name","decomp","spend","beta","a","ad","b"
"Consumer Checking - Total Balances","Television","Business Total","overall",0.3,0.15,10799,96,1,"National",7703605,368892,16617597.2604901,16617597.2604901,0.463581159131594,1.68840745673534e-06
"Consumer Checking - Total Balances","Television","Consumer","overall",4,0.15,18988,145,1,"National",15231635,1225856,21008282.0535066,21008282.0535066,0.725030012506786,1.05321777081459e-06
"Consumer Checking - Total Balances","Direct Mail","Consumer","overall",3,0.15,19128548,0.01,1,"National",25791105,1840416,25791105.8612867,25791105.8612867,0.999999966605284,9.35379182749892e-06
"Consumer Savings - New Savings Accounts","Trade Magazine","Retail Total","overall",0.5,0.03,12467,1,1,"National",33,3661,313.921921086122,313.921921086122,0.105121680849254,3.0338029556493e-05
"Consumer Savings - New Savings Accounts","Newspaper","Consumer","overall",4,0.15,28300,1,1,"National",120,7051,230.887825197985,230.887825197985,0.519732904483382,0.000104015441901515
"Consumer Savings - New Savings Accounts","Television","Retail Mortgage","overall",1.5,0.3,951,107,1,"National",223,32836,271.982637311662,271.982637311662,0.819905278528742,5.22071000154315e-05
"Consumer Savings - New Savings Accounts","Online Video","Consumer","overall",0.3,0.15,50688024,0.01,1,"National",290,277804,472.587983536707,472.587983536707,0.613642348308831,3.42324725246042e-06
"Consumer Savings - New Savings Accounts","Online Display","Consumer","overall",0.5,0.01,45145360,0.01,1,"National",530,154641,12614.7097178429,12614.7097178429,0.0420144428095987,2.77562723511807e-07
"Consumer Savings - New Savings Accounts","Television","Card Total","overall",0.3,0.15,32086,105,1,"National",645,1263047,1341.31225519008,1341.31225519008,0.480872367716193,5.19066595643347e-07
"Consumer Savings - New Savings Accounts","Paid Search","Consumer & XLB","overall",3,0.01,1262917,2,1,"National",1036,294396,49852.5195238876,49852.5195238876,0.0207812967106624,7.13333972780128e-08
"Consumer Savings - New Savings Accounts","Television","Consumer","overall",4,0.15,18988,145,1,"National",1595,1225856,2199.90893133554,2199.90893133554,0.725030012506786,1.05321777081459e-06
"Consumer Savings - New Savings Accounts","Direct Mail","Consumer","overall",1.5,0.15,19128548,0.01,1,"National",5120,1840416,5120.00030668853,5120.00030668853,0.9999999400999,9.03631987003884e-06
"Consumer Savings - Total Balances","Newspaper","Consumer","overall",3,0.15,28300,1,1,"National",2028528,7051,3983358.57853461,3983358.57853461,0.509250663731672,0.000100953311347438
"Consumer Savings - Total Balances","Online Display","Consumer","overall",0.3,0.01,45145360,0.01,1,"National",11067236,154641,298433843.861533,298433843.861533,0.0370843864650116,2.44369214836805e-07
